Samples,BL,ES,PA,Pi,RO,SC,TR,TS,ALL
S155_ES_1,0,1,0,0,0,0,0,0,1
S159_ES_2,0,1,0,0,0,0,0,0,1
S163_ES_3,0,1,0,0,0,0,0,0,1
S167_ES_4,0,1,0,0,0,0,0,0,1
S171_ES_5,0,1,0,0,0,0,0,0,1
S175_RO_1,0,0,0,0,1,0,0,0,1
S179_RO_2,0,0,0,0,1,0,0,0,1
S183_RO_3,0,0,0,0,1,0,0,0,1
S187_RO_4,0,0,0,0,1,0,0,0,1
S191_RO_5,0,0,0,0,1,0,0,0,1
S195_Pi_1,0,0,0,1,0,0,0,0,1
S199_Pi_2,0,0,0,1,0,0,0,0,1
S203_Pi_3,0,0,0,1,0,0,0,0,1
new_PA_5,0,0,1,0,0,0,0,0,1
s207_Pi_4,0,0,0,1,0,0,0,0,1
s211_Pi_5,0,0,0,1,0,0,0,0,1
s215_PA_1,0,0,1,0,0,0,0,0,1
s219_PA_2,0,0,1,0,0,0,0,0,1
s223_PA_3,0,0,1,0,0,0,0,0,1
s227_PA_4,0,0,1,0,0,0,0,0,1
s235_TR_1,0,0,0,0,0,0,1,0,1
s239_TR_2,0,0,0,0,0,0,1,0,1
s243_TR_3,0,0,0,0,0,0,1,0,1
s247_TR_4,0,0,0,0,0,0,1,0,1
s251_TR_5,0,0,0,0,0,0,1,0,1
s255_BL_1,1,0,0,0,0,0,0,0,1
s259_BL_2,1,0,0,0,0,0,0,0,1
s263_BL_3,1,0,0,0,0,0,0,0,1
s267_BL_4,1,0,0,0,0,0,0,0,1
s271_BL_5,1,0,0,0,0,0,0,0,1
s275_TS_1,0,0,0,0,0,0,0,1,1
s279_TS_2,0,0,0,0,0,0,0,1,1
s283_TS_3,0,0,0,0,0,0,0,1,1
s287_TS_4,0,0,0,0,0,0,0,1,1
s291_TS_5,0,0,0,0,0,0,0,1,1
s295_SC_1,0,0,0,0,0,1,0,0,1
s299_SC_2,0,0,0,0,0,1,0,0,1
s303_SC_3,0,0,0,0,0,1,0,0,1
s307_SC_4,0,0,0,0,0,1,0,0,1
s311_SC_5,0,0,0,0,0,1,0,0,1
